Data Source,Sub - Data Source,Data Object,Relationship,Data Object,Event ID,Description,Provider Name,Event Channel,Data Category,Data Sub-Category,Minimun Operating System,GPO,Enable Commands,Client Default,Server Default
Windows event logs,user account password reset,user,reset_password,user,4724,An attempt was made to reset an account's password.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account disable,user,disabled,user,4725,A user account was disabled.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account deletion,user,deleted,user,4726,A user account was deleted.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account change,user,changed,user,4738,A user account was changed.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account lock,user,locked,user,4740,A user account was locked out.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account unlock,user,unlocked,user,4767,A user account was unlocked.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account name change,user,changed_name,user,4781,The name of an account was changed:,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",No auditing,Success
Windows event logs,user account group enumeration,user,enumerated,user,4798,A user's local group membership was enumerated.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account group enumeration,user,enumerated,group,4799,A security-enabled local group membership was enumerated,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management," auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,directory service object access,user,accessed,ad object,4662,An operation was performed on an object,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Access,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access," auditpol.exe /set /subcategory:""Directory Service Access"" /success:enable /failure:enable",No auditing,Success
Windows event logs,directory service object handle request,user,requested_a_handle,ad object,4661,A handle to an object was requested,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Access,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access," auditpol.exe /set /subcategory:""Directory Service Access"" /success:enable /failure:enable",No auditing,Success
Windows event logs,directory service object modification,user,modified,ad object,5136,A directory service object was modified,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Changes,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access," auditpol.exe /set /subcategory:""Directory Service Changes"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,directory service object creation,user,created,ad object,5137,A directory service object was created,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Changes,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access,"auditpol.exe /set /subcategory:""Directory Service Changes"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,directory service object restoration,user,restored,ad object,5138,A directory service object was undeleted,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Changes,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access,"auditpol.exe /set /subcategory:""Directory Service Changes"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,directory service object move,user,moved,ad object,5139,A directory service object was moved,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Changes,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access,"auditpol.exe /set /subcategory:""Directory Service Changes"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,directory service object deletion,user,deleted,ad object,5141,A directory service object was deleted,Microsoft-Windows-Security-Auditing,Security,Audit DS Access,Audit Directory Service Changes,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Directory Service Access,"auditpol.exe /set /subcategory:""Directory Service Changes"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,user account lockout,user,failed,host,4625,An account failed to log on,Microsoft-Windows-Security-Auditing,Security,Audit Logon/Logoff,Audit Account Lockout,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Account Lockout,"auditpol.exe /set /subcategory:""Account Lockout"" /success:enable",Success,Success
Windows event logs,network share access,user,accessed,network share,5140,A network share object was accessed.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File Share,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share,"auditpol.exe /set /subcategory:""File Share"" /success:enable",No auditing,No auditing
Windows event logs,network share addition,user,added,network share,5142,A network share object was added.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File Share,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share,"auditpol.exe /set /subcategory:""File Share"" /success:enable",No auditing,No auditing
Windows event logs,network share modification,user,modified,network share,5143,A network share object was modified.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File Share,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share,"auditpol.exe /set /subcategory:""File Share"" /success:enable",No auditing,No auditing
Windows event logs,network share deletion,user,deleted,network share,5144,A network share object was deleted.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File Share,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share,"auditpol.exe /set /subcategory:""File Share"" /success:enable",No auditing,No auditing
Windows event logs,win registry access request,process,requested_a_handle,win registry key,4656,A handle to an object was requested.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""Registry"" /success:enable",No auditing,No auditing
Windows event logs,win registry access request,user,requested_a_handle,win registry key,4656,A handle to an object was requested.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""Registry"" /success:enable",No auditing,No auditing
Windows event logs,win registry deletion request,process,requested_a_handle,win registry key,4656,A handle to an object was requested.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""Registry"" /success:enable",No auditing,No auditing
Windows event logs,win registry deletion request,user,requested_a_handle,win registry key,4656,A handle to an object was requested.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""Registry"" /success:enable",No auditing,No auditing
Windows event logs,symbolic link creation,user,created,symbolic link,4664,An attempt was made to create a hard link.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Handle Manipulation,"auditpol.exe /set /subcategory:""File System"" /success:enable",No auditing,No auditing
Windows event logs,scheduled task creation,user,created,scheduled task,4698,A scheduled task was created.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Other Object Access Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events,"auditpol.exe /set /subcategory:""Other Object Access Events"" /success:enable",No auditing,No auditing
Windows event logs,scheduled task deletion,user,deleted,scheduled task,4699,A scheduled task was deleted.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Other Object Access Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events,"auditpol.exe /set /subcategory:""Other Object Access Events"" /success:enable",No auditing,No auditing
Windows event logs,scheduled task enable,user,enabled,scheduled task,4700,A scheduled task was enabled.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Other Object Access Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events,"auditpol.exe /set /subcategory:""Other Object Access Events"" /success:enable",No auditing,No auditing
Windows event logs,scheduled tast disable,user,disabled,scheduled task,4701,A scheduled task was disabled.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Other Object Access Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events,"auditpol.exe /set /subcategory:""Other Object Access Events"" /success:enable",No auditing,No auditing
Windows event logs,scheduled task update,user,updated,scheduled task,4702,A scheduled task was updated.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Other Object Access Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events,"auditpol.exe /set /subcategory:""Other Object Access Events"" /success:enable",No auditing,No auditing
Windows event logs,win registry key deletion,process,deleted,,4660,An object was deleted,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
File monitoring,file deletion,process,deleted,,4660,An object was deleted,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit File System,"auditpol.exe /set /subcategory:""File System"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,win registry key access,process,accessed,win registry key,4663,An attempt was made to access an object.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,win registry key access,user,accessed,win registry key,4663,An attempt was made to access an object.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,win registry key deletion,process,deleted,win registry key,4663,An attempt was made to access an object.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,win registry key deletion,user,deleted,win registry key,4663,An attempt was made to access an object.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,win registry key handle closed,process,closed_a_handle,handle,4658,The handle to an object was closed,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
File monitoring,win registry key handle closed,process,closed_a_handle,handle,4658,The handle to an object was closed,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit File System,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit File System,"auditpol.exe /set /subcategory:""File System"" /success:enable /failure:anable",No auditing,No auditing
Windows event logs,win registry key permissions change,process,changed_permissions,win registry key,4670,Permissions on an object were changed.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,win registry key permissions change,user,changed_permissions,win registry key,4670,Permissions on an object were changed.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
"Windows event logs, Windows Registry",win registry key value modification,user,modified,win registry key value,4657,A registry value was modified.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
"Windows event logs, Windows Registry",win registry key value modification,process,modified,win registry key value,4657,A registry value was modified.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Registry,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Registry,"auditpol.exe /set /subcategory:""Registry"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,sam service object handle request,user,requested_a_handle,sam object,4661,A handle to an object was requested,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit SAM,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit SAM,"auditpol.exe /set /subcategory:""SAM"" /success:enable",No auditing,No auditing
Windows event logs,user account access addition,user,granted_access,user,4717,System security access was granted to an account.,Microsoft-Windows-Security-Auditing,Security,Audit Policy Change,Audit Authentication Policy Change,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authentication Policy Change,"auditpol.exe /set /subcategory:""Authentication Policy Change"" /success:enable /failure:enable",Success,No auditing
Windows event logs,user account access removal,user,removed_access,user,4718,System security access was removed from an account.,Microsoft-Windows-Security-Auditing,Security,Audit Policy Change,Audit Authentication Policy Change,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authentication Policy Change,"auditpol.exe /set /subcategory:""Authentication Policy Change"" /success:enable /failure:enable",Success,No auditing
Windows event logs,non-sensitive privileged operation,process,attempted,object,4674,An operation was attempted on a privileged object.,Microsoft-Windows-Security-Auditing,Security,Audit Privilege Use,Audit Non Sensitive Privilege Use,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Audit Non Sensitive Privilege Use," auditpol.exe /set /subcategory:""Non Sensitive Privilege Use"" /success:enable",No auditing,No auditing
Windows event logs,sensitive privileged service operation,process,called,privileged service,4673,A privileged service was called.,Microsoft-Windows-Security-Auditing,Security,Audit Privilege Use,Audit Sensitive Privilege Use,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System  Audit Policies -> Audit Sensitive Privilege Use,"auditpol.exe /set /subcategory:""Sensitive Privilege Use"" /success:enable",No auditing,No auditing
Windows event logs,sensitive privileged operation,process,attempted,privileged object,4674,An operation was attempted on a privileged object.,Microsoft-Windows-Security-Auditing,Security,Audit Privilege Use,Audit Sensitive Privilege Use,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Audit Sensitive Privilege Use,"auditpol.exe /set /subcategory:""Sensitive Privilege Use"" /success:enable",No auditing,No auditing
Windows event logs,win firewall service stop,process,stopped,Firewall Service,5025,The Windows Firewall Service has been stopped.,Microsoft-Windows-Security-Auditing,Security,Audit System,Audit Other System Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events," auditpol.exe /set /subcategory:""Other System Events"" /success:enable",No auditing,Success and Failure
Windows event logs,win firewall service stop,user,stopped,Firewall Service,5025,The Windows Firewall Service has been stopped.,Microsoft-Windows-Security-Auditing,Security,Audit System,Audit Other System Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events," auditpol.exe /set /subcategory:""Other System Events"" /success:enable",No auditing,Success and Failure
Windows event logs,win firewall driver stop,process,stopped,Firewall Driver,5034,The Windows Firewall Driver was stopped.,Microsoft-Windows-Security-Auditing,Security,Audit System,Audit Other System Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events," auditpol.exe /set /subcategory:""Other System Events"" /success:enable",No auditing,Success and Failure
Windows event logs,win firewall driver stop,user,stopped,Firewall Driver,5034,The Windows Firewall Driver was stopped.,Microsoft-Windows-Security-Auditing,Security,Audit System,Audit Other System Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events," auditpol.exe /set /subcategory:""Other System Events"" /success:enable /failure:enable",No auditing,Success and Failure
Windows event logs,win service installation,user,installed,service,4697,A service was installed in the system.,Microsoft-Windows-Security-Auditing,Security,Audit System,Audit Security System Extension,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension,"auditpol.exe /set /subcategory:""Security System Extension"" /success:enable /failure:enable",No auditing,No auditing
"Windows event logs, Authentication logs",NTLM Credentials Validation,host,authenticated,user,4776,The computer attempted to validate the credentials for an account,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Credential Validation,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Credential Validation,"auditpol.exe /set /subcategory:""Credential Validation"" /success:enable /failure:enable",No auditing,Success
"Windows event logs, Authentication logs",kerberos TGT authentication failure,user,authenticated_with,ticket granting ticket,4771,Kerberos pre-authentication failed,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Kerberos Authentication Service,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Authentication Service,"auditpol.exe /set /subcategory:""Kerberos Authentication Service"" /success:enable",No auditing,Success
"Windows event logs, Authentication logs",user account successful authentication,user,authenticated,host,4624,An account was successfully logged on,Microsoft-Windows-Security-Auditing,Security,Audit Logon/Logoff,Audit Logon,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon,"auditpol.exe /set /subcategory:""Logon"" /success:enable /failure:enable",Success,"Success, Failure"
"Windows event logs, Authentication logs",user account authentication with explicit credential,user,authenticated,host,4648,A logon was attempted using explicit credentials,Microsoft-Windows-Security-Auditing,Security,Audit Logon/Logoff,Audit Logon,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon,"auditpol.exe /set /subcategory:""Logon"" /success:enable /failure:enable",Success,"Success, Failure"
Windows Registry,win registry key creation,process,created,win registry key,12,Registry key and value create and delete operations map to this event type. (Object create and delete),Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Registry Key,Registry Key Created,"Windows 7, Windows 2008 R2",N/A ,"<RegistryEvent onmatch=""exclude"" />",No auditing,No auditing
Windows Registry,win registry key deletion,process,deleted,win registry key,12,Registry key and value create and delete operations map to this event type. (Object create and delete),Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Registry Key,Registry Key Deleted,"Windows 7, Windows 2008 R2",N/A ,"<RegistryEvent onmatch=""exclude"" />",No auditing,No auditing
Windows Registry,win registry key modification,process,renamed,win registry key,14,Registry key and value rename operations map to this event type. (Key and Value Rename),Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Registry Key,Registry Key Renamed,"Windows 7, Windows 2008 R2",N/A ,"<RegistryEvent onmatch=""exclude"" />",No auditing,No auditing
Windows Registry,win registry key value modification,process,renamed,win registry key value,14,Registry key and value rename operations map to this event type. (Key and Value Rename),Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Registry Key,Registry Key Value Renamed,"Windows 7, Windows 2008 R2",N/A ,"<RegistryEvent onmatch=""exclude"" />",No auditing,No auditing
Windows Registry,win registry key value modification,process,modified,win registry key value,13,This Registry event type identifies Registry value modifications. (Value Set),Microsoft-Windows-Sysmon,Microsoft-windows-sysmon/operational,Registry Key,Registry Value Set,"Windows 7, Windows 2008 R2",N/A ,"<RegistryEvent onmatch=""exclude"" />",No auditing,No auditing